listingID,raterID,rating,rated_on
6976,29603052,,
152630,30753730,,
225834,33212966,4,
225979,34470961,,
382929,34552909,5,
488959,36141263,3,
533084,37193227,3,
543823,37253135,,
753348,37844039,1,
753446,38573316,,
781153,38855266,1,
879929,44625108,1,
951782,46037158,3,
1281306,52992470,,
1301845,34552909,3,
1349965,36141263,5,
1494726,37193227,2,
1564714,37253135,1,
1591827,37844039,3,
1668313,38573316,1,
1810172,29603052,,
1826341,30753730,,
1936861,33212966,,
2225618,46037158,,
2326265,52992470,,
2326272,29603052,,
2570965,30753730,,
2583074,33212966,,
2672380,34552909,4,
3038516,36141263,5,
3075044,37193227,2,
3200293,37253135,2,
3420384,37844039,4,
3422597,38573316,5,
3522508,23904087,5,
3534949,24122606,2,
3575220,24345657,3,
3645675,23904087,2,
3821194,24122606,3,
3858401,24345657,3,
3929127,24122606,2,
4025194,37193227,4,
4085362,37253135,4,
4283698,37844039,2,
4614098,38573316,5,
4661840,23904087,,
4710792,24122606,,
4775413,24345657,,
4823922,29603052,2,
4916307,30753730,5,
4922204,23904087,,
4934960,24122606,5,
5354033,24345657,1,
5434353,23904087,3,
5550435,36141263,1,
5659689,37193227,3,
5709491,37253135,2,
5820340,37844039,5,
5884429,23904087,4,
5915025,24122606,2,
5922059,24122606,1,
5923285,24345657,3,
5960293,23904087,2,
6302619,24122606,1,
6390287,24345657,4,
6502061,37193227,3,
6625373,37253135,1,
6628476,37844039,1,
6830631,23904087,2,
6831764,24122606,2,
6831843,24345657,3,
6832028,23904087,1,
6849452,24122606,5,
6887004,24122606,2,
6897283,37253135,5,
6922238,37844039,5,
6932491,23904087,4,
6933545,24122606,5,
7111604,24345657,2,
7227968,23904087,2,
7252607,24122606,,
7362173,24345657,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
